date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:18:39	297/297	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2031%20Mar%202024%2000:18:38%20GMT	http://localhost:8080/robots.txt		(from )
02:18:43	182875/182875	---MC-	200	added ('OK')	text/html	date:Sun,%2031%20Mar%202024%2000:18:39%20GMT	http://localhost:8080/portfolio/	C:/My%20Web%20Sites/portfolio-latest/localhost_8080/portfolio/index.html	(from )
02:18:43	1901/1901	---M--	200	added ('OK')	text/css	etag:%2276d-61376de6f7172%22	http://localhost:8080/portfolio/wp-content/themes/Xtra-4.4.7_working_with_all_demos-1//assets/css/blocks.css?ver=6.4.3	C:/My%20Web%20Sites/portfolio-latest/localhost_8080/portfolio/wp-content/themes/Xtra-4.4.7_working_with_all_demos-1/assets/css/blocks84fc.css	(from http://localhost:8080/portfolio/)
02:18:43	24973/24973	---M--	200	added ('OK')	text/css	etag:%22618d-614df54781d17%22	http://localhost:8080/portfolio/wp-content/plugins/chaty/css/chaty-front.min.css?ver=3.21711801594	C:/My%20Web%20Sites/portfolio-latest/localhost_8080/portfolio/wp-content/plugins/chaty/css/chaty-front.min6a1f.css	(from http://localhost:8080/portfolio/)
02:18:44	34399/34399	---M--	200	added ('OK')	text/css	etag:%22865f-61376dfb9d725%22	http://localhost:8080/portfolio/wp-content/plugins/codevz-plus/admin/assets/css/font-awesome/css/v4-shims.min.css?ver=5.11.2	C:/My%20Web%20Sites/portfolio-latest/localhost_8080/portfolio/wp-content/plugins/codevz-plus/admin/assets/css/font-awesome/css/v4-shims.minaec5.css	(from http://localhost:8080/portfolio/)
02:18:45	56590/56590	---M--	200	added ('OK')	text/css	etag:%22dd0e-61376dfb9cf57%22	http://localhost:8080/portfolio/wp-content/plugins/codevz-plus/admin/assets/css/font-awesome/css/all.min.css?ver=5.11.2	C:/My%20Web%20Sites/portfolio-latest/localhost_8080/portfolio/wp-content/plugins/codevz-plus/admin/assets/css/font-awesome/css/all.minaec5.css	(from http://localhost:8080/portfolio/)
02:18:46	25090/25090	---M--	200	added ('OK')	text/css	etag:%226202-61376dfbc7a89%22	http://localhost:8080/portfolio/wp-content/plugins/codevz-plus/admin/fields/codevz_fields/icons/czicons.css?ver=4.4.7	C:/My%20Web%20Sites/portfolio-latest/localhost_8080/portfolio/wp-content/plugins/codevz-plus/admin/fields/codevz_fields/icons/czicons946e.css	(from http://localhost:8080/portfolio/)
02:18:47	2894/2894	---M--	200	added ('OK')	text/css	etag:%22b4e-61376e1c3dbd2%22	http://localhost:8080/portfolio/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.9.2	C:/My%20Web%20Sites/portfolio-latest/localhost_8080/portfolio/wp-content/plugins/contact-form-7/includes/css/styles6dcf.css	(from http://localhost:8080/portfolio/)
02:18:47	17688/17688	---M--	200	added ('OK')	text/css	etag:%224518-61376e35c939c%22	http://localhost:8080/portfolio/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=8.6.1	C:/My%20Web%20Sites/portfolio-latest/localhost_8080/portfolio/wp-content/plugins/woocommerce/assets/css/woocommerce-layout9b80.css	(from http://localhost:8080/portfolio/)
02:18:48	7043/7043	---M--	200	added ('OK')	text/css	etag:%221b83-61376e35ce994%22	http://localhost:8080/portfolio/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=8.6.1	C:/My%20Web%20Sites/portfolio-latest/localhost_8080/portfolio/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen9b80.css	(from http://localhost:8080/portfolio/)
02:18:48	75125/75125	---M--	200	added ('OK')	text/css	etag:%2212575-61376e35c4970%22	http://localhost:8080/portfolio/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=8.6.1	C:/My%20Web%20Sites/portfolio-latest/localhost_8080/portfolio/wp-content/plugins/woocommerce/assets/css/woocommerce9b80.css	(from http://localhost:8080/portfolio/)
02:18:50	2652/2652	---M--	200	added ('OK')	application/rss+xml	etag:%229de129f5155136ae13ff68358b43e271%22	http://localhost:8080/portfolio/comments/feed/	C:/My%20Web%20Sites/portfolio-latest/localhost_8080/portfolio/comments/feed/index.html	(from http://localhost:8080/portfolio/)
02:18:50	92285/92285	---M--	200	added ('OK')	text/css	etag:%221687d-61376de6fd309%22	http://localhost:8080/portfolio/wp-content/themes/Xtra-4.4.7_working_with_all_demos-1/assets/css/core.css?ver=4.4.7	C:/My%20Web%20Sites/portfolio-latest/localhost_8080/portfolio/wp-content/themes/Xtra-4.4.7_working_with_all_demos-1/assets/css/core946e.css	(from http://localhost:8080/portfolio/)
02:18:52	182/182	---M--	200	added ('OK')	text/css	etag:%22b6-61376de6fb7b7%22	http://localhost:8080/portfolio/wp-content/themes/Xtra-4.4.7_working_with_all_demos-1/assets/css/core-laptop.css?ver=4.4.7	C:/My%20Web%20Sites/portfolio-latest/localhost_8080/portfolio/wp-content/themes/Xtra-4.4.7_working_with_all_demos-1/assets/css/core-laptop946e.css	(from http://localhost:8080/portfolio/)
02:18:52	24340/24340	---MC-	200	added ('OK')	application/rss+xml	etag:%229de129f5155136ae13ff68358b43e271%22	http://localhost:8080/portfolio/feed/	C:/My%20Web%20Sites/portfolio-latest/localhost_8080/portfolio/feed/index.html	(from http://localhost:8080/portfolio/)
02:18:52	1562/1562	---M--	200	added ('OK')	text/css	etag:%2261a-61376de6fcb3b%22	http://localhost:8080/portfolio/wp-content/themes/Xtra-4.4.7_working_with_all_demos-1/assets/css/core-tablet.css?ver=4.4.7	C:/My%20Web%20Sites/portfolio-latest/localhost_8080/portfolio/wp-content/themes/Xtra-4.4.7_working_with_all_demos-1/assets/css/core-tablet946e.css	(from http://localhost:8080/portfolio/)
02:18:52	2567/2567	---M--	200	added ('OK')	text/css	etag:%22a07-61376de6fc757%22	http://localhost:8080/portfolio/wp-content/themes/Xtra-4.4.7_working_with_all_demos-1/assets/css/core-mobile.css?ver=4.4.7	C:/My%20Web%20Sites/portfolio-latest/localhost_8080/portfolio/wp-content/themes/Xtra-4.4.7_working_with_all_demos-1/assets/css/core-mobile946e.css	(from http://localhost:8080/portfolio/)
02:18:52	8798/8798	---M--	200	added ('OK')	text/css	etag:%22225e-61376de6ffdfd%22	http://localhost:8080/portfolio/wp-content/themes/Xtra-4.4.7_working_with_all_demos-1/assets/css/loading.css?ver=4.4.7	C:/My%20Web%20Sites/portfolio-latest/localhost_8080/portfolio/wp-content/themes/Xtra-4.4.7_working_with_all_demos-1/assets/css/loading946e.css	(from http://localhost:8080/portfolio/)
02:18:52	28897/28897	---M--	200	added ('OK')	text/css	etag:%2270e1-61376dfbf7f87%22	http://localhost:8080/portfolio/wp-content/plugins/codevz-plus/assets/css/woocommerce.css?ver=4.4.7	C:/My%20Web%20Sites/portfolio-latest/localhost_8080/portfolio/wp-content/plugins/codevz-plus/assets/css/woocommerce946e.css	(from http://localhost:8080/portfolio/)
02:18:54	936/936	---M--	200	added ('OK')	text/css	etag:%223a8-61376dfbf77b8%22	http://localhost:8080/portfolio/wp-content/plugins/codevz-plus/assets/css/share.css?ver=4.4.7	C:/My%20Web%20Sites/portfolio-latest/localhost_8080/portfolio/wp-content/plugins/codevz-plus/assets/css/share946e.css	(from http://localhost:8080/portfolio/)
02:18:54	1025/1025	---M--	200	added ('OK')	text/css	etag:%22401-61376dfbf6fe9%22	http://localhost:8080/portfolio/wp-content/plugins/codevz-plus/assets/css/mobile-nav.css?ver=4.4.7	C:/My%20Web%20Sites/portfolio-latest/localhost_8080/portfolio/wp-content/plugins/codevz-plus/assets/css/mobile-nav946e.css	(from http://localhost:8080/portfolio/)
02:18:54	38341/38341	---M--	200	added ('OK')	text/css	etag:%2295c5-61376dfbf50ae%22	http://localhost:8080/portfolio/wp-content/plugins/codevz-plus/assets/css/codevzplus.css?ver=4.4.7	C:/My%20Web%20Sites/portfolio-latest/localhost_8080/portfolio/wp-content/plugins/codevz-plus/assets/css/codevzplus946e.css	(from http://localhost:8080/portfolio/)
02:18:55	2842/2842	---M--	200	added ('OK')	text/css	etag:%22b1a-61376dfbf48e0%22	http://localhost:8080/portfolio/wp-content/plugins/codevz-plus/assets/css/codevzplus-tablet.css?ver=4.4.7	C:/My%20Web%20Sites/portfolio-latest/localhost_8080/portfolio/wp-content/plugins/codevz-plus/assets/css/codevzplus-tablet946e.css	(from http://localhost:8080/portfolio/)
02:18:56	206/206	---M--	200	added ('OK')	text/css	etag:%22ce-61376dfbf4110%22	http://localhost:8080/portfolio/wp-content/plugins/codevz-plus/assets/css/codevzplus-mobile.css?ver=4.4.7	C:/My%20Web%20Sites/portfolio-latest/localhost_8080/portfolio/wp-content/plugins/codevz-plus/assets/css/codevzplus-mobile946e.css	(from http://localhost:8080/portfolio/)
02:18:56	118630/118630	---M--	200	added ('OK')	text/css	etag:%221cf66-61376e096567c%22	http://localhost:8080/portfolio/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.20.0	C:/My%20Web%20Sites/portfolio-latest/localhost_8080/portfolio/wp-content/plugins/elementor/assets/css/frontend-lite.minc226.css	(from http://localhost:8080/portfolio/)
02:18:57	16471/16471	---M--	200	added ('OK')	text/css	etag:%224057-61376e0a1f9de%22	http://localhost:8080/portfolio/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/My%20Web%20Sites/portfolio-latest/localhost_8080/portfolio/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from http://localhost:8080/portfolio/)
02:18:57	1109/1109	---M--	200	added ('OK')	text/css	etag:%22455-61376ee589e68%22	http://localhost:8080/portfolio/wp-content/uploads/elementor/css/post-885.css?ver=1710251386	C:/My%20Web%20Sites/portfolio-latest/localhost_8080/portfolio/wp-content/uploads/elementor/css/post-885a7e5.css	(from http://localhost:8080/portfolio/)
02:18:57	9475/9475	---M--	200	added ('OK')	text/css	etag:%222503-61376ee6ed2a8%22	http://localhost:8080/portfolio/wp-content/uploads/elementor/css/global.css?ver=1710251387	C:/My%20Web%20Sites/portfolio-latest/localhost_8080/portfolio/wp-content/uploads/elementor/css/global85fd.css	(from http://localhost:8080/portfolio/)
02:18:57	11762/11762	---M--	200	added ('OK')	text/css	etag:%222df2-614e2514170fa%22	http://localhost:8080/portfolio/wp-content/uploads/elementor/css/post-292.css?ver=1711812118	C:/My%20Web%20Sites/portfolio-latest/localhost_8080/portfolio/wp-content/uploads/elementor/css/post-292239e.css	(from http://localhost:8080/portfolio/)
02:18:58	2340/2340	---M--	200	added ('OK')	text/css	etag:%22924-61376dfbf681b%22	http://localhost:8080/portfolio/wp-content/plugins/codevz-plus/assets/css/elementor.css?ver=4.4.7	C:/My%20Web%20Sites/portfolio-latest/localhost_8080/portfolio/wp-content/plugins/codevz-plus/assets/css/elementor946e.css	(from http://localhost:8080/portfolio/)
